No;Kode;Mentah;"Sumber
TKPI 2019";Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;"Kalsium
Ca";"Fosfor
P";"Besi
Fe";"Natrium
Na";"Kalium
Ka";"Tembaga
Cu";"Seng
Zn";"Retino
Vit A";B-Kar;"Karoten
Total";"Thiamin
Vit. B1";"Ribovlavin
Vit. B2";Niasin;Vitamin C;BDD;Kelompok Makanan;Regulasi;;;;;;;;
;;;;(g);(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
299;CP055;Olahan;Rempeyek kacang tanah;3,9;513;17,5;32,5;44,3;1,7;1,8;65;202;2,6;-;-;-;-;-;-;-;0,1;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
300;CP056;Olahan;Rempeyek kacang tolo;6,1;451;11,2;20,2;59,7;1,8;2,8;156;221;4,6;-;-;-;-;-;-;-;0,02;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
301;CP057;Olahan;Rempeyek kacang uci;4;497;17;27,6;50,8;2,4;3,4;166;89;6,7;-;-;-;-;-;-;-;0,05;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
302;CP058;Olahan;Sayur lebui;83,9;64;2,1;0,6;12,5;5,7;0,9;21;2;1;124;146;0,2;0,7;-;14;-;-;-;0,1;-;100;Kacang;KZGMI-2001;;;;;;;;
303;CP059;Olahan;Saridele, bubuk;3;344;30;20;43;6,2;4;450;500;4;56;2.572,30;2,99;4;-;-;2.000;0,7;0,16;2;10;100;Kacang;DABM-1964;;;;;;;;
304;CP060;Olahan;Susu kedelai;87;41;3,5;2,5;5;0,2;2;50;45;0,7;128;287,9;0,12;1;-;-;200;0,08;0,05;0,7;2;100;Kacang;DABM-1964;;;;;;;;
305;CP061;Olahan;Tahu, mentah;82,2;80;10,9;4,7;0,8;0,1;1,4;223;183;3,4;2;50,6;0,19;0,8;-;118;-;0,01;0,08;0,1;-;100;Kacang;KZGPI-1990;;;;;;;;
306;CP062;Olahan;Tahu goreng;77,3;115;9,7;8,5;2,5;0,1;2;229;200;4,1;7;68,2;0,09;1,3;-;-;-;0,01;0,24;-;-;100;Kacang;KZGPI-1990;;;;;;;;
307;CP063;Olahan;Tahu telur;41,8;328;12,6;19,9;24,6;0,4;1,1;492;238;4,9;755;-;-;-;73;-;1.860;0,42;-;-;-;100;Kacang;KZGMS-1993;;;;;;;;
308;CP064;Olahan;Takwa;72,2;148;13,8;8,5;4;-;1,6;140;214;8,5;3;79;0,3;1,3;-;-;920;0,2;0,1;0,8;-;100;Kacang;KZGPI-1990;;;;;;;;
309;CP065;Olahan;Tauco;54;184;11,4;5,5;22,2;1,9;6,9;72;463;6;1.766;233;0,39;1;-;-;664;0,32;0,2;0,8;-;100;Kacang;KZGPI-1990;;;;;;;;
310;CP066;Olahan;Tauco cap beruang, cake;11,4;347;7,4;5,2;67,6;3,2;8,4;63;106;6,2;-;-;-;-;-;-;936;0,35;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
311;CP067;Olahan;Tauco cap DAS, cake;10,2;358;7,5;4,3;70,4;3,1;7,6;94;94;4,5;-;-;-;-;-;-;504;0,29;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
312;CP068;Olahan;Tauco cap meong;59,7;159;7,4;4,9;21,3;1,6;6,7;183;84;10,1;1.547;204,1;0,34;0,9;-;-;472;0,46;0,18;0,7;-;100;Kacang;KZGPI-1990;;;;;;;;
313;CP069;Olahan;Tauji cap singa;30,4;277;9,1;4,7;49,6;1,2;6,2;68;106;3;-;-;-;-;-;-;936;0,15;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
314;CP070;Olahan;Tempe bongkrek;72,5;119;4,4;3,5;18,3;-;146,3;27;100;2,6;-;-;-;-;-;-;-;0,08;-;-;-;100;Kacang;DABM-1964;;;;;;;;
315;CP071;Olahan;Tempe gembus P3G;81,9;73;5,7;1,3;10,3;4,2;0,8;204;80;1,5;-;-;-;-;-;-;22;0,09;0,1;0,9;-;100;Kacang;KZGPI-1990;;;;;;;;
316;CP072;Olahan;Tempe gembus yogya;80,7;76;6,8;0,7;10,6;5,3;1,1;76;142;16,5;-;-;-;-;-;-;-;0,79;0,01;0,1;-;100;Kacang;KZGPI-1990;;;;;;;;
317;CP073;Olahan;Tempe kacang babi;64;139;12,5;0,8;21,9;1,8;1,2;68;182;2,6;-;-;-;-;-;-;20;0,1;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
