No;Kode;Mentah;Sumber;Air (g);Energi (kal);Protein (g);Lemak (g);Karbohidrat (g);Serat (g);Abu (g);Kalsium (mg);Fosfor (mg);Besi (mg);Natrium (mg);Kalium (mg);Tembaga (mg);Seng (mg);Retinol (mcg);B-Karoten (mcg);Karoten Total (mcg);Thiamin (mg);Riboflavin (mg);Niasin (mg);Vitamin C (mg);BDD (%);Kelompok Makanan;Regulasi
1139;NR016;Tunggal;Cengkeh, kering;23.3;330;5.2;8.9;57.4;10.0;5.2;740;100;4.9;282;961;0.30;-;265;-;200;200.0;-;-;-;100;Bumbu;DABM-1964
1140;NR017;Tunggal;Daun salam, bubuk;13.1;301;14.2;10.9;49.0;9.4;12.8;86;250;44.1;180;619;1.31;0.7;5400;-;-;0.10;0.32;5.0;-;100;Bumbu;FCTEA-1972
1141;NR018;Tunggal;Jahe, segar;55.0;51;1.5;1.0;10.1;12.0;1.2;21;39;1.6;12;441.7;0.48;0.7;-;9;-;0.02;0.17;3.3;4.0;97;Bumbu;DABM-1964
1142;NR019;Tunggal;Kemiri;7.0;675;19.0;63.0;8.0;3.0;3.0;80;200;2.0;25;430.7;0.23;0.8;-;-;1570;0.06;0.06;0.4;-;100;Bumbu;DABM-1964
1143;NR020;Tunggal;Ketumbar, kering;11.2;418;14.1;16.1;54.2;12.3;4.4;630;370;17.9;91;1787.00;0.95;4.6;75;-;-;0.20;0.35;1.8;30.0;100;Bumbu;DABM-1964
1144;NR021;Tunggal;Kluwek;51.0;310;10.0;24.0;13.5;-;1.5;40;100;2.0;-;-;-;-;-;-;-;-;-;-;1.0;80;Bumbu;DABM-1964
1145;NR022;Tunggal;Kunyit, segar;84.9;69;2.0;2.7;9.1;0.6;1.3;24;78;3.3;6;406.7;0.05;0.4;12;-;-;0.03;0.02;0.4;-;78;Bumbu;DABM-1964
1146;NR023;Tunggal;Merica, kering;12.9;365;11.5;6.8;64.4;1.0;4.4;460;200;16.4;4;99.7;0.89;1.1;-;0.3;-;0.20;0.10;2.5;-;100;Bumbu;DABM-1964
1147;NR024;Tunggal;Pala, biji, kering;14.3;518;7.5;36.4;40.1;3.5;1.7;120;240;4.6;2;78.7;0.94;2.0;-;7;-;0.20;0.02;0.5;-;95;Bumbu;DABM-1964
1148;QR001;Tunggal;Kelapa muda, air, segar;95.5;17;0.2;0.1;3.8;-;0.4;15;8;0.2;1;149;0.04;0.1;-;-;-;-;-;-;1.0;100;Minuman;DABM-1964
